Country,State/Province,City,currency,current_year,investment_year,construction_time_large,construction_time_small,urban_pop,slum_pop_percent,floating_pop_percent,urban_households,comm_toilets,public_toilets,sewer_length,stp_capacity,gdp_per_capita,growth_rate,inflation,household_size,fhtc_cost,urban_households_with_fhtp_percent,comm_toilet_cost,public_toilet_cost,urban_pop_with_sewer_percent,water_consumption,desludging_freq,cost_co_treatment,co_treat_avail,fstp_capacity,fstp_cost,fstp_maint_cost,training_cost,awareness_cost,working_age_pop_percent,disease_incidence,disease_incidence_working,treatment_cost,medical_transport_cost,tourism_contribution_percent,recycled_water_value,urban_pop_with_sewer_in_investment_year_percent,wastewater_reuse_percent,septage_emptied_per_household,percent_ulb_officials_trained,sewer_length_per_person,cost_fstp,cost_per_visit,commute_cost_doctor,sanitation_access_saved,water_access_saved,capital_cost_wc,persons_per_wc,persons_per_pt,wc_per_ct,fstp_avail,sewer_vs_fstp_percent,discount_rate,sewer_const_cost,sewer_maint_cost,stp_cost,stp_maint_cost,disease_decrease_percent,days_per_incidence,slum_pop_percent_decrease,increase_gdp_tourism_percent,co_treat_proposed,amortize_capex,interest_rate
Other,Other,Other,INR,2025,2026,5,2,19500,0,10,3188,0,48,0,0,105000,10,4,5,25000,85.9,100000,100000,0,55,5,60000,NO,0,350000,50000,10000,25,21.3,975,488,3000,100,5,15,98,20,3,0.1,3,350000,3000,100,2,0.5,98000,30,1200,20,NO,25,6,4000000,9,30000000,800000,40,5,10,1,NO,NO,2
India,Maharashtra,Nagpur,INR,2025,2026,5,2,2405665,27,10,506353,1200,88,1670,340,292642,10,4,4.8,5000,76.4,98000,100000,96,150,10,100000,NO,0,350000,50000,10000,25,60.7,2456,1500,3000,100,9.1,15,98,20,3,0.1,1,350000,3000,100,2,0.5,98000,30,1200,20,NO,25,6,4000000,9,30000000,800000,40,5,10,1,NO,NO,2
India,Bihar,Shoehar,INR,2025,2026,5,2,28116,39,10,5858,0,24,0,0,66896,10,4,4.4,5000,98.6,98000,100000,0,50,5,100000,NO,0,350000,50000,10000,25,28.5,1406,703,3000,100,5,15,98,20,3,0.1,2,350000,3000,100,2,0.5,98000,30,1200,20,NO,25,6,4000000,9,30000000,800000,40,5,10,1,NO,NO,2
India,Bihar,Muzaffarpur,INR,2025,2026,5,2,354462,14,10,65870,0,64,0,0,66896,10,4,5.3,5000,95.9,98000,100000,10,50,5,100000,NO,0,350000,50000,10000,25,30.1,17723,8862,3000,100,5,15,98,20,3,0.1,1,350000,3000,100,2,0.5,98000,30,1200,20,NO,25,6,4000000,9,30000000,800000,40,5,10,1,NO,NO,2
India,Bihar,Nalanda,INR,2025,2026,5,2,297268,7,10,48641,0,40,0,0,66896,10,4,6,5000,90.7,98000,100000,10,50,5,100000,NO,0,350000,50000,10000,25,27.9,14863,7432,3000,100,5,15,98,20,3,0.1,1,350000,3000,100,2,0.5,98000,30,1200,20,NO,25,6,4000000,9,30000000,800000,40,5,10,1,NO,NO,2
India,Bihar,Bhojpur,INR,2025,2026,5,2,261099,9,10,37684,10,48,0,0,66896,10,4,6.9,5000,98.2,98000,100000,0,49,5,100000,NO,0,350000,50000,10000,25,25.2,13055,6527,3000,100,5,15,98,20,3,0.1,1,350000,3000,100,2,0.5,98000,30,1200,20,NO,25,6,4000000,9,30000000,800000,40,5,10,1,NO,NO,2
India,Bihar,Akbar Nagar Panchayat,INR,2025,2026,5,2,30000,0,4,3200,1,0,5,0,59637,10,4,7,25000,80,100000,100000,20,55,5,60000,NO,0,350000,50000,10000,25,20,1500,750,3000,100,5,15,98,20,3,0.1,2,350000,3000,100,2,0.5,98000,30,1200,20,NO,25,6,4000000,9,30000000,800000,40,5,10,1,NO,NO,2
India,Bihar,Sultanganj Nagar Parishad,INR,2025,2026,5,2,74000,1,10,10578,0,13,20,10,59637,10,4,7,25000,80,100000,100000,80,70,5,60000,NO,0,350000,50000,10000,25,20,3700,1850,3000,100,5,15,98,20,3,0.1,2,350000,3000,100,2,0.5,98000,30,1200,20,NO,25,6,4000000,9,30000000,800000,40,5,10,1,NO,NO,2
India,Madhya Pradesh,Halgajiya Damoh,INR,2025,2026,5,2,212,0,10,49,0,49,0.3,0,155583,10,4,4,25000,49,100000,100000,20,50,5,60000,NO,0,350000,50000,10000,25,70,11,5,3000,100,5,15,98,20,3,0.1,3,350000,3000,100,2,0.5,98000,30,1200,20,NO,25,6,4000000,9,30000000,800000,40,5,10,1,NO,NO,2
India,Madhya Pradesh,Mudari Damoh,INR,2025,2026,5,2,1537,0,10,275,8,0,0,0,155583,10,4,4,25000,17,100000,100000,0,55,5,60000,NO,0,350000,50000,10000,25,68,77,38,3000,100,5,15,98,20,3,0.1,3,350000,3000,100,2,0.5,98000,30,1200,20,NO,25,6,4000000,9,30000000,800000,40,5,10,1,NO,NO,2
India,Uttar Pradesh,Amethi,INR,2025,2026,5,2,19500,0,10,3188,0,48,0,0,105000,10,4,5,25000,85.9,100000,100000,0,55,5,60000,NO,0,350000,50000,10000,25,21.3,975,488,3000,100,5,15,98,20,3,0.1,3,350000,3000,100,2,0.5,98000,30,1200,20,NO,25,6,4000000,9,30000000,800000,40,5,10,1,NO,NO,2
India,Telangana,Chinnamangalaram,INR,2025,2026,5,2,3021,0,5,654,0,0,7,0,242479,10,4,4,25000,91.7,100000,100000,60,55,5,60000,NO,0,350000,50000,10000,25,20,151,76,3000,100,5,15,98,20,3,0.1,3,350000,3000,100,2,0.5,98000,30,1200,20,NO,25,6,4000000,9,30000000,800000,40,5,10,1,NO,NO,2
India,Telangana,Peddamangalaram,INR,2025,2026,5,2,4068,0,5,1390,0,0,4,0,242479,10,4,4,25000,97.1,100000,100000,45,55,5,60000,NO,0,350000,50000,10000,25,60,203,102,3000,100,5,15,98,20,3,0.1,3,350000,3000,100,2,0.5,98000,30,1200,20,NO,25,6,4000000,9,30000000,800000,40,5,10,1,NO,NO,2
India,Other,Other,INR,2025,2026,5,2,19500,0,10,3188,0,48,0,0,105000,10,4,5,25000,85.9,100000,100000,0,55,5,60000,NO,0,350000,50000,10000,25,21.3,975,488,3000,100,5,15,98,20,3,0.1,3,350000,3000,100,2,0.5,98000,30,1200,20,NO,25,6,4000000,9,30000000,800000,40,5,10,1,NO,NO,2
India,Maharashtra,Other,INR,2025,2026,5,2,19500,0,10,3188,0,48,0,0,105000,10,4,5,25000,85.9,100000,100000,0,55,5,60000,NO,0,350000,50000,10000,25,21.3,975,488,3000,100,5,15,98,20,3,0.1,3,350000,3000,100,2,0.5,98000,30,1200,20,NO,25,6,4000000,9,30000000,800000,40,5,10,1,NO,NO,2
India,Bihar,Other,INR,2025,2026,5,2,19500,0,10,3188,0,48,0,0,105000,10,4,5,25000,85.9,100000,100000,0,55,5,60000,NO,0,350000,50000,10000,25,21.3,975,488,3000,100,5,15,98,20,3,0.1,3,350000,3000,100,2,0.5,98000,30,1200,20,NO,25,6,4000000,9,30000000,800000,40,5,10,1,NO,NO,2
India,Madhya Pradesh,Other,INR,2025,2026,5,2,19500,0,10,3188,0,48,0,0,105000,10,4,5,25000,85.9,100000,100000,0,55,5,60000,NO,0,350000,50000,10000,25,21.3,975,488,3000,100,5,15,98,20,3,0.1,3,350000,3000,100,2,0.5,98000,30,1200,20,NO,25,6,4000000,9,30000000,800000,40,5,10,1,NO,NO,2
India,Uttar Pradesh,Other,INR,2025,2026,5,2,19500,0,10,3188,0,48,0,0,105000,10,4,5,25000,85.9,100000,100000,0,55,5,60000,NO,0,350000,50000,10000,25,21.3,975,488,3000,100,5,15,98,20,3,0.1,3,350000,3000,100,2,0.5,98000,30,1200,20,NO,25,6,4000000,9,30000000,800000,40,5,10,1,NO,NO,2
